،	arabic, arabic comma, comma
💁‍♂	information desk kaa aadmi, man, sassy, tipping hand
💁🏻‍♂	Fair skin, information desk kaa aadmi, information desk kaa aadmi: Fair skin, man, sassy, tipping hand
💁🏼‍♂	information desk kaa aadmi, information desk kaa aadmi: medium-fair skin, man, medium-fair skin, sassy, tipping hand
💁🏽‍♂	information desk kaa aadmi, information desk kaa aadmi: medium skin, man, medium skin, sassy, tipping hand
💁🏾‍♂	information desk kaa aadmi, information desk kaa aadmi: medium-dark skin, man, medium-dark skin, sassy, tipping hand
💁🏿‍♂	dark skin, information desk kaa aadmi, information desk kaa aadmi: dark skin, man, sassy, tipping hand
💁‍♀	information desk ki mahila, sassy, tipping hand, woman
💁🏻‍♀	Fair skin, information desk ki mahila, information desk ki mahila: Fair skin, sassy, tipping hand, woman
💁🏼‍♀	information desk ki mahila, information desk ki mahila: medium-fair skin, medium-fair skin, sassy, tipping hand, woman
💁🏽‍♀	information desk ki mahila, information desk ki mahila: medium skin, medium skin, sassy, tipping hand, woman
💁🏾‍♀	information desk ki mahila, information desk ki mahila: medium-dark skin, medium-dark skin, sassy, tipping hand, woman
💁🏿‍♀	dark skin, information desk ki mahila, information desk ki mahila: dark skin, sassy, tipping hand, woman
🙋	gesture, haath uthaata vyakti, hand, happy, raised
🙋🏻	Fair skin, gesture, haath uthaata vyakti, haath uthaata vyakti: Fair skin, hand, happy, raised
🙋🏼	gesture, haath uthaata vyakti, haath uthaata vyakti: medium-fair skin, hand, happy, medium-fair skin, raised
🙋🏽	gesture, haath uthaata vyakti, haath uthaata vyakti: medium skin, hand, happy, medium skin, raised
🙋🏾	gesture, haath uthaata vyakti, haath uthaata vyakti: medium-dark skin, hand, happy, medium-dark skin, raised
🙋🏿	dark skin, gesture, haath uthaata vyakti, haath uthaata vyakti: dark skin, hand, happy, raised
🙋‍♂	gesture, haath uthaata aadmi, man, raising hand
🙋🏻‍♂	Fair skin, gesture, haath uthaata aadmi, haath uthaata aadmi: Fair skin, man, raising hand
🙋🏼‍♂	gesture, haath uthaata aadmi, haath uthaata aadmi: medium-fair skin, man, medium-fair skin, raising hand
🙋🏽‍♂	gesture, haath uthaata aadmi, haath uthaata aadmi: medium skin, man, medium skin, raising hand
🙋🏾‍♂	gesture, haath uthaata aadmi, haath uthaata aadmi: medium-dark skin, man, medium-dark skin, raising hand
🙋🏿‍♂	dark skin, gesture, haath uthaata aadmi, haath uthaata aadmi: dark skin, man, raising hand
🙋‍♀	gesture, haath uthaati mahila, raising hand, woman
🙋🏻‍♀	Fair skin, gesture, haath uthaati mahila, haath uthaati mahila: Fair skin, raising hand, woman
🙋🏼‍♀	gesture, haath uthaati mahila, haath uthaati mahila: medium-fair skin, medium-fair skin, raising hand, woman
🙋🏽‍♀	gesture, haath uthaati mahila, haath uthaati mahila: medium skin, medium skin, raising hand, woman
🙋🏾‍♀	gesture, haath uthaati mahila, haath uthaati mahila: medium-dark skin, medium-dark skin, raising hand, woman
🙋🏿‍♀	dark skin, gesture, haath uthaati mahila, haath uthaati mahila: dark skin, raising hand, woman
🧏🏻	Fair skin, accessibility, deaf, deaf person, deaf person: Fair skin, ear, hear
🧏🏼	accessibility, deaf, deaf person, deaf person: medium-fair skin, ear, hear, medium-fair skin
🧏🏽	accessibility, deaf, deaf person, deaf person: medium skin, ear, hear, medium skin
🧏🏾	accessibility, deaf, deaf person, deaf person: medium-dark skin, ear, hear, medium-dark skin
🧏🏿	accessibility, dark skin, deaf, deaf person, deaf person: dark skin, ear, hear
🧏🏻‍♂	Fair skin, deaf, deaf man: Fair skin, man
🧏🏼‍♂	deaf, deaf man: medium-fair skin, man, medium-fair skin
🧏🏽‍♂	deaf, deaf man: medium skin, man, medium skin
🧏🏾‍♂	deaf, deaf man: medium-dark skin, man, medium-dark skin
🧏🏿‍♂	dark skin, deaf, deaf man: dark skin, man
🧏🏻‍♀	Fair skin, deaf, deaf woman: Fair skin, woman
🧏🏼‍♀	deaf, deaf woman: medium-fair skin, medium-fair skin, woman
🧏🏽‍♀	deaf, deaf woman: medium skin, medium skin, woman
🧏🏾‍♀	deaf, deaf woman: medium-dark skin, medium-dark skin, woman
🧏🏿‍♀	dark skin, deaf, deaf woman: dark skin, woman
🙇	apology, bow, bow karta vyakti, gesture, sorry
🙇🏻	Fair skin, apology, bow, bow karta vyakti, bow karta vyakti: Fair skin, gesture, sorry
🙇🏼	apology, bow, bow karta vyakti, bow karta vyakti: medium-fair skin, gesture, medium-fair skin, sorry
🙇🏽	apology, bow, bow karta vyakti, bow karta vyakti: medium skin, gesture, medium skin, sorry
🙇🏾	apology, bow, bow karta vyakti, bow karta vyakti: medium-dark skin, gesture, medium-dark skin, sorry
🙇🏿	apology, bow, bow karta vyakti, bow karta vyakti: dark skin, dark skin, gesture, sorry
🙇‍♂	apology, bow karta aadmi, bowing, favor, gesture, man, sorry
🙇🏻‍♂	Fair skin, apology, bow karta aadmi, bow karta aadmi: Fair skin, bowing, favor, gesture, man, sorry
🙇🏼‍♂	apology, bow karta aadmi, bow karta aadmi: medium-fair skin, bowing, favor, gesture, man, medium-fair skin, sorry
🙇🏽‍♂	apology, bow karta aadmi, bow karta aadmi: medium skin, bowing, favor, gesture, man, medium skin, sorry
🙇🏾‍♂	apology, bow karta aadmi, bow karta aadmi: medium-dark skin, bowing, favor, gesture, man, medium-dark skin, sorry
🙇🏿‍♂	apology, bow karta aadmi, bow karta aadmi: dark skin, bowing, dark skin, favor, gesture, man, sorry
🙇‍♀	apology, bow karti mahila, bowing, favor, gesture, sorry, woman
🙇🏻‍♀	Fair skin, apology, bow karti mahila, bow karti mahila: Fair skin, bowing, favor, gesture, sorry, woman
🙇🏼‍♀	apology, bow karti mahila, bow karti mahila: medium-fair skin, bowing, favor, gesture, medium-fair skin, sorry, woman
🙇🏽‍♀	apology, bow karti mahila, bow karti mahila: medium skin, bowing, favor, gesture, medium skin, sorry, woman
🙇🏾‍♀	apology, bow karti mahila, bow karti mahila: medium-dark skin, bowing, favor, gesture, medium-dark skin, sorry, woman
🙇🏿‍♀	apology, bow karti mahila, bow karti mahila: dark skin, bowing, dark skin, favor, gesture, sorry, woman
🤦	disbelief, exasperation, face, face par palm rakhe hua vyakti, palm
🤦🏻	Fair skin, disbelief, exasperation, face, face par palm rakhe hua vyakti, face par palm rakhe hua vyakti: Fair skin, palm
🤦🏼	disbelief, exasperation, face, face par palm rakhe hua vyakti, face par palm rakhe hua vyakti: medium-fair skin, medium-fair skin, palm
🤦🏽	disbelief, exasperation, face, face par palm rakhe hua vyakti, face par palm rakhe hua vyakti: medium skin, medium skin, palm
🤦🏾	disbelief, exasperation, face, face par palm rakhe hua vyakti, face par palm rakhe hua vyakti: medium-dark skin, medium-dark skin, palm
🤦🏿	dark skin, disbelief, exasperation, face, face par palm rakhe hua vyakti, face par palm rakhe hua vyakti: dark skin, palm
🤦‍♂	disbelief, exasperation, face par palm rakhe hua aadmi, facepalm, man
🤦🏻‍♂	Fair skin, disbelief, exasperation, face par palm rakhe hua aadmi, face par palm rakhe hua aadmi: Fair skin, facepalm, man
🤦🏼‍♂	disbelief, exasperation, face par palm rakhe hua aadmi, face par palm rakhe hua aadmi: medium-fair skin, facepalm, man, medium-fair skin
🤦🏽‍♂	disbelief, exasperation, face par palm rakhe hua aadmi, face par palm rakhe hua aadmi: medium skin, facepalm, man, medium skin
🤦🏾‍♂	disbelief, exasperation, face par palm rakhe hua aadmi, face par palm rakhe hua aadmi: medium-dark skin, facepalm, man, medium-dark skin
🤦🏿‍♂	dark skin, disbelief, exasperation, face par palm rakhe hua aadmi, face par palm rakhe hua aadmi: dark skin, facepalm, man
🤦‍♀	disbelief, exasperation, face par palm rakhe huye mahila, facepalm, woman
🤦🏻‍♀	Fair skin, disbelief, exasperation, face par palm rakhe huye mahila, face par palm rakhe huye mahila: Fair skin, facepalm, woman
🤦🏼‍♀	disbelief, exasperation, face par palm rakhe huye mahila, face par palm rakhe huye mahila: medium-fair skin, facepalm, medium-fair skin, woman
🤦🏽‍♀	disbelief, exasperation, face par palm rakhe huye mahila, face par palm rakhe huye mahila: medium skin, facepalm, medium skin, woman
🤦🏾‍♀	disbelief, exasperation, face par palm rakhe huye mahila, face par palm rakhe huye mahila: medium-dark skin, facepalm, medium-dark skin, woman
🤦🏿‍♀	dark skin, disbelief, exasperation, face par palm rakhe huye mahila, face par palm rakhe huye mahila: dark skin, facepalm, woman
🤷	doubt, ignorance, indifference, shrug, shrug karta vyakti
🤷🏻	Fair skin, doubt, ignorance, indifference, shrug, shrug karta vyakti, shrug karta vyakti: Fair skin
🤷🏼	doubt, ignorance, indifference, medium-fair skin, shrug, shrug karta vyakti, shrug karta vyakti: medium-fair skin
🤷🏽	doubt, ignorance, indifference, medium skin, shrug, shrug karta vyakti, shrug karta vyakti: medium skin
🤷🏾	doubt, ignorance, indifference, medium-dark skin, shrug, shrug karta vyakti, shrug karta vyakti: medium-dark skin
🤷🏿	dark skin, doubt, ignorance, indifference, shrug, shrug karta vyakti, shrug karta vyakti: dark skin
🤷‍♂	doubt, ignorance, indifference, man, shrug, shrug karta aadmi
🤷🏻‍♂	Fair skin, doubt, ignorance, indifference, man, shrug, shrug karta aadmi, shrug karta aadmi: Fair skin
🤷🏼‍♂	doubt, ignorance, indifference, man, medium-fair skin, shrug, shrug karta aadmi, shrug karta aadmi: medium-fair skin
🤷🏽‍♂	doubt, ignorance, indifference, man, medium skin, shrug, shrug karta aadmi, shrug karta aadmi: medium skin
🤷🏾‍♂	doubt, ignorance, indifference, man, medium-dark skin, shrug, shrug karta aadmi, shrug karta aadmi: medium-dark skin
🤷🏿‍♂	dark skin, doubt, ignorance, indifference, man, shrug, shrug karta aadmi, shrug karta aadmi: dark skin
🤷‍♀	doubt, ignorance, indifference, shrug, shrug karti mahila, woman
🤷🏻‍♀	Fair skin, doubt, ignorance, indifference, shrug, shrug karti mahila, shrug karti mahila: Fair skin, woman
🤷🏼‍♀	doubt, ignorance, indifference, medium-fair skin, shrug, shrug karti mahila, shrug karti mahila: medium-fair skin, woman
🤷🏽‍♀	doubt, ignorance, indifference, medium skin, shrug, shrug karti mahila, shrug karti mahila: medium skin, woman
🤷🏾‍♀	doubt, ignorance, indifference, medium-dark skin, shrug, shrug karti mahila, shrug karti mahila: medium-dark skin, woman
🤷🏿‍♀	dark skin, doubt, ignorance, indifference, shrug, shrug karti mahila, shrug karti mahila: dark skin, woman
🧑🏻‍⚕	Fair skin, doctor, health worker, health worker: Fair skin, healthcare, nurse, therapist
🧑🏼‍⚕	doctor, health worker, health worker: medium-fair skin, healthcare, medium-fair skin, nurse, therapist
🧑🏽‍⚕	doctor, health worker, health worker: medium skin, healthcare, medium skin, nurse, therapist
🧑🏾‍⚕	doctor, health worker, health worker: medium-dark skin, healthcare, medium-dark skin, nurse, therapist
🧑🏿‍⚕	dark skin, doctor, health worker, health worker: dark skin, healthcare, nurse, therapist
👨🏻‍⚕	Fair skin, doctor, healthcare, man, man health worker, man health worker: Fair skin, nurse, therapist
👨🏼‍⚕	doctor, healthcare, man, man health worker, man health worker: medium-fair skin, medium-fair skin, nurse, therapist
👨🏽‍⚕	doctor, healthcare, man, man health worker, man health worker: medium skin, medium skin, nurse, therapist
👨🏾‍⚕	doctor, healthcare, man, man health worker, man health worker: medium-dark skin, medium-dark skin, nurse, therapist
👨🏿‍⚕	dark skin, doctor, healthcare, man, man health worker, man health worker: dark skin, nurse, therapist
👩🏻‍⚕	Fair skin, doctor, healthcare, nurse, therapist, woman, woman health worker, woman health worker: Fair skin
👩🏼‍⚕	doctor, healthcare, medium-fair skin, nurse, therapist, woman, woman health worker, woman health worker: medium-fair skin
👩🏽‍⚕	doctor, healthcare, medium skin, nurse, therapist, woman, woman health worker, woman health worker: medium skin
👩🏾‍⚕	doctor, healthcare, medium-dark skin, nurse, therapist, woman, woman health worker, woman health worker: medium-dark skin
👩🏿‍⚕	dark skin, doctor, healthcare, nurse, therapist, woman, woman health worker, woman health worker: dark skin
🧑🏻‍🎓	Fair skin, graduate, student, student: Fair skin
🧑🏼‍🎓	graduate, medium-fair skin, student, student: medium-fair skin
🧑🏽‍🎓	graduate, medium skin, student, student: medium skin
🧑🏾‍🎓	graduate, medium-dark skin, student, student: medium-dark skin
🧑🏿‍🎓	dark skin, graduate, student, student: dark skin
👨🏻‍🎓	Fair skin, graduate, man, man student: Fair skin, student
👨🏼‍🎓	graduate, man, man student: medium-fair skin, medium-fair skin, student
👨🏽‍🎓	graduate, man, man student: medium skin, medium skin, student
👨🏾‍🎓	graduate, man, man student: medium-dark skin, medium-dark skin, student
👨🏿‍🎓	dark skin, graduate, man, man student: dark skin, student
👩🏻‍🎓	Fair skin, graduate, student, woman, woman student: Fair skin
👩🏼‍🎓	graduate, medium-fair skin, student, woman, woman student: medium-fair skin
👩🏽‍🎓	graduate, medium skin, student, woman, woman student: medium skin
👩🏾‍🎓	graduate, medium-dark skin, student, woman, woman student: medium-dark skin
👩🏿‍🎓	dark skin, graduate, student, woman, woman student: dark skin
🧑🏻‍🏫	Fair skin, instructor, professor, teacher, teacher: Fair skin
🧑🏼‍🏫	instructor, medium-fair skin, professor, teacher, teacher: medium-fair skin
🧑🏽‍🏫	instructor, medium skin, professor, teacher, teacher: medium skin
🧑🏾‍🏫	instructor, medium-dark skin, professor, teacher, teacher: medium-dark skin
🧑🏿‍🏫	dark skin, instructor, professor, teacher, teacher: dark skin
👨🏻‍🏫	Fair skin, instructor, man, man teacher: Fair skin, professor, teacher
👨🏼‍🏫	instructor, man, man teacher: medium-fair skin, medium-fair skin, professor, teacher
👨🏽‍🏫	instructor, man, man teacher: medium skin, medium skin, professor, teacher
👨🏾‍🏫	instructor, man, man teacher: medium-dark skin, medium-dark skin, professor, teacher
👨🏿‍🏫	dark skin, instructor, man, man teacher: dark skin, professor, teacher
👩🏻‍🏫	Fair skin, instructor, professor, teacher, woman, woman teacher: Fair skin
👩🏼‍🏫	instructor, medium-fair skin, professor, teacher, woman, woman teacher: medium-fair skin
👩🏽‍🏫	instructor, medium skin, professor, teacher, woman, woman teacher: medium skin
👩🏾‍🏫	instructor, medium-dark skin, professor, teacher, woman, woman teacher: medium-dark skin
👩🏿‍🏫	dark skin, instructor, professor, teacher, woman, woman teacher: dark skin
🧑🏻‍⚖	Fair skin, judge, judge: Fair skin, justice, scales
🧑🏼‍⚖	judge, judge: medium-fair skin, justice, medium-fair skin, scales
🧑🏽‍⚖	judge, judge: medium skin, justice, medium skin, scales
🧑🏾‍⚖	judge, judge: medium-dark skin, justice, medium-dark skin, scales
🧑🏿‍⚖	dark skin, judge, judge: dark skin, justice, scales
👨🏻‍⚖	Fair skin, judge, justice, man, man judge: Fair skin, scales
👨🏼‍⚖	judge, justice, man, man judge: medium-fair skin, medium-fair skin, scales
👨🏽‍⚖	judge, justice, man, man judge: medium skin, medium skin, scales
👨🏾‍⚖	judge, justice, man, man judge: medium-dark skin, medium-dark skin, scales
👨🏿‍⚖	dark skin, judge, justice, man, man judge: dark skin, scales
👩🏻‍⚖	Fair skin, judge, justice, scales, woman, woman judge: Fair skin
👩🏼‍⚖	judge, justice, medium-fair skin, scales, woman, woman judge: medium-fair skin
