‾	барзиёд
👇🏼	ангушт, ангушти ишорат ба поён ишора карда истода, ангушти ишорат ба поён ишора карда истода: ранги равшании миёнаи пӯст, даст, нишондиҳанда, нуқта, поён, пушти даст, ранги равшании миёнаи пӯст
👇🏽	ангушт, ангушти ишорат ба поён ишора карда истода, ангушти ишорат ба поён ишора карда истода: ранги миёнаи пӯст, даст, нишондиҳанда, нуқта, поён, пушти даст, ранги миёнаи пӯст
👇🏾	ангушт, ангушти ишорат ба поён ишора карда истода, ангушти ишорат ба поён ишора карда истода: ранги торики миёнаи пӯст, даст, нишондиҳанда, нуқта, поён, пушти даст, ранги торики миёнаи пӯст
👇🏿	ангушт, ангушти ишорат ба поён ишора карда истода, ангушти ишорат ба поён ишора карда истода: ранги торики пӯст, даст, нишондиҳанда, нуқта, поён, пушти даст, ранги торики пӯст
☝️	ангушт, ангушти ишорат ба боло ишора карда истода, боло, даст, нишондиҳанда, нуқта
☝🏻	ангушт, ангушти ишорат ба боло ишора карда истода, ангушти ишорат ба боло ишора карда истода: ранги равшани пӯст, боло, даст, нишондиҳанда, нуқта, ранги равшани пӯст
☝🏼	ангушт, ангушти ишорат ба боло ишора карда истода, ангушти ишорат ба боло ишора карда истода: ранги равшании миёнаи пӯст, боло, даст, нишондиҳанда, нуқта, ранги равшании миёнаи пӯст
☝🏽	ангушт, ангушти ишорат ба боло ишора карда истода, ангушти ишорат ба боло ишора карда истода: ранги миёнаи пӯст, боло, даст, нишондиҳанда, нуқта, ранги миёнаи пӯст
☝🏾	ангушт, ангушти ишорат ба боло ишора карда истода, ангушти ишорат ба боло ишора карда истода: ранги торики миёнаи пӯст, боло, даст, нишондиҳанда, нуқта, ранги торики миёнаи пӯст
☝🏿	ангушт, ангушти ишорат ба боло ишора карда истода, ангушти ишорат ба боло ишора карда истода: ранги торики пӯст, боло, даст, нишондиҳанда, нуқта, ранги торики пӯст
👍️	+1, боло, даст, нарангушт, хуб
👍🏻	+1, боло, даст, нарангушт, ранги равшани пӯст, хуб, хуб: ранги равшани пӯст
👍🏼	+1, боло, даст, нарангушт, ранги равшании миёнаи пӯст, хуб, хуб: ранги равшании миёнаи пӯст
👍🏽	+1, боло, даст, нарангушт, ранги миёнаи пӯст, хуб, хуб: ранги миёнаи пӯст
👍🏾	+1, боло, даст, нарангушт, ранги торики миёнаи пӯст, хуб, хуб: ранги торики миёнаи пӯст
👍🏿	+1, боло, даст, нарангушт, ранги торики пӯст, хуб, хуб: ранги торики пӯст
👎️	-1, бад, даст, нарангушт, поён
👎🏻	-1, бад, бад: ранги равшани пӯст, даст, нарангушт, поён, ранги равшани пӯст
👎🏼	-1, бад, бад: ранги равшании миёнаи пӯст, даст, нарангушт, поён, ранги равшании миёнаи пӯст
👎🏽	-1, бад, бад: ранги миёнаи пӯст, даст, нарангушт, поён, ранги миёнаи пӯст
👎🏾	-1, бад, бад: ранги торики миёнаи пӯст, даст, нарангушт, поён, ранги торики миёнаи пӯст
👎🏿	-1, бад, бад: ранги торики пӯст, даст, нарангушт, поён, ранги торики пӯст
✊	даст, мушт, мушт задан, мушти бардошта, фушурдашуда
✊🏻	даст, мушт, мушт задан, мушти бардошта, мушти бардошта: ранги равшани пӯст, ранги равшани пӯст, фушурдашуда
✊🏼	даст, мушт, мушт задан, мушти бардошта, мушти бардошта: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, фушурдашуда
✊🏽	даст, мушт, мушт задан, мушти бардошта, мушти бардошта: ранги миёнаи пӯст, ранги миёнаи пӯст, фушурдашуда
✊🏾	даст, мушт, мушт задан, мушти бардошта, мушти бардошта: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, фушурдашуда
✊🏿	даст, мушт, мушт задан, мушти бардошта, мушти бардошта: ранги торики пӯст, ранги торики пӯст, фушурдашуда
👊	даст, мушт, мушт задан, мушти муқобил, фушурдашуда
👊🏻	даст, мушт, мушт задан, мушти муқобил, мушти муқобил: ранги равшани пӯст, ранги равшани пӯст, фушурдашуда
👊🏼	даст, мушт, мушт задан, мушти муқобил, мушти муқобил: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, фушурдашуда
👊🏽	даст, мушт, мушт задан, мушти муқобил, мушти муқобил: ранги миёнаи пӯст, ранги миёнаи пӯст, фушурдашуда
👊🏾	даст, мушт, мушт задан, мушти муқобил, мушти муқобил: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, фушурдашуда
