_	dolna smužka, pódsmužka, smužka
🦼	elektriski, elektriski jězdny stoł, elktriski jězdny stoł, jězdny stoł, pomocny srědk
🛺	awtorikša, tuk -tuk
🚲️	jězdźidło, kólaso, kólaso ako jězdźidło
🛴	roler k teptanju
🛹	skateboard, ze skateboardom jězdźiś
🛼	crjeje, rulkowanki, rulkowaś
🚏	bus, busowe zastanišćo, zastanišćo
🛣️	awtodroga, malsna droga
🛤️	kóleje, zeleznica, zeleznicowe kóleje
🛢️	sud, wólej, wólejowy sud
⛽️	bencin, tankowański słup, tankowaś, tankownja
🛞	krejz, kólaso, se wjerśeś, wobryc
🚨	cerwjene swětło, policajske swětło, policija, se wjerśece swětło, sirena, swětło
🚥	ampla, signal, swětło, wobchadna ampla, wódorowna ampla
🚦	ampla, padorowna ampla, signal, swětło, wobchadna ampla
🛑	sopowe znamje, stopowa tofla, stopowe znamje, wósymrožkaty
🚧	tofla, twarnišćo, twarnišćowa tofla, zadoraś
⚓️	kokula, mórjo, pśistaw
🛟	plějaŕ, wumožaŕ, wumožaŕska boja, wumožaŕski plějaŕ, wumoženje, wěstosć, žywjenje
⛵️	magijaŕ B magijaŕka B magijaŕski mejstaŕ B guslowaŕ B guslowaŕka, płachtak
🛶	cołn, kanu, wódny sport
🚤	spěšna łoź, łoź
🛳️	mórske drogowanje, pasažěr, pasažěrska łoź, łoź
⛴️	prama, łoź
🛥️	cołn, motorowy cołn, łoź
🚢	kołojězdna łoź, sparnik, spěšna łoź, łoź
✈️	leśeś, lětadło, lětaś, transportny srědk
🛩️	lětadło, małe lětadło, mały
🛫	lětadło, start, start lětadła, wótleśeś, wótlět, wótlět lětadła
🛬	lětadło, pśilět, pśizemjenje, pśizemjenje lětadła
🪂	padadło, paragliding, skokanje z padadłom, skydiving
💺	městno k sejźenju, sejźenje, śěg
🚁	helikopter, transportny srědk
🚟	wisata zeleznica, wisata zeleznica I
🚠	górska wisata zeleznica
🚡	gondla, górska powrjozowa zeleznica
🛰️	satelit, swětnišćo
🚀	raketa, swětnišćo
🛸	UFO, lětajuca šklicka
🛎️	hotel, zwónašk, zwónašk recepcije
🧳	brěmjenja, drogowanje, jězd, kofry
⌛️	cas se minjo, proces, pěskowy zeger
⏳️	běžecy pěskowy zeger, proces, pěsk, se rowno stawa
⌚️	rucne zegerk, rucny zegerk, zeger
⏰	buźak, cas, zeger
⏱️	stopowka, zeger
⏲️	cas, na cas šaltujucy zeger, zeger
🕰️	kaminowy zeger, zeger
🕛️	cyfrina, cyfrina zeger dwanasćich, dwanasćich, zeger dwanasćich
🕧	dwanasćo góźin tśiźasća, napoł jadnogo
🕐️	cyfrina, na dypk zeger jadnogo, tśinasćo góźin, zeger jadnogo
🕜	1 : 30, 13 : 30, cyfrina, napoł dweju, tśinasćo góźin tśižasća
🕑️	2:00 Icyfrina, styrnasćo góźin, zeger dweju
🕝	2 : 30 I14:30, cyfrina, napoł tśich, styrnasćo góźin tśiźasća
🕒️	15:00, 3:00, cyfrina, pěśnasćo góźin, zeger tśich
🕞	15:30 cyfrina, 3:30, napoł styrich, pěśnasćo góźin tśiźasća
🕓️	16:00 cyfrina, 4:00, zeger styrich, šesnasćo góźin
🕟	16:30, 4:30, cyfrina, napoł pěśich, napoł pěśich Išesnasćo góźin tśiźasća
🕔️	17:00, 5:00, cyfrina, sedymnasćo góźin, zeger pěsich, zeger pěśich
🕠	17:30, 5:30, cyfrina, napoł šesćich, sedymnasćo góźin tśiźasća
🕕️	18:00, 6:00, cyfrina, wósymnasćo góźin, zeger šesćich
🕡	18:30, 6: 30, cyfrina, napoł sedymich, wósymnasćo góźin tśiźasća
🕖️	19:00 cyfrina, 7:00, zeger sedymich, źewjeśnasćo góźin
🕢	19:30, 7:30, cyfrina, napoł wósymich, źewjeśnasćo góźin tśiźasća
🕗️	20:00 cyfrina, 8:00, dwaźasća góźin, zeger wósymich, zeger wósymich I
🕣	20:30, 8:30, cyfrina, dwaźasća góźin tśiźasća, napoł źewjeśich
🕘️	21:00, 9:00, cyfrina, jadenadwaźasća góźin, zeger źewjeśich
🕤	21:30, 9:00, cyfrina, jadenadwaźasća góźin tśiźasća, napoł źaseśich
🕙️	10:00, 22:00, cyfrina, dwaadwaźasća góźin, zeger źaseśich
🕥	10:30, 22:30, cyfrina, dwaadwaźasća góźin tśiźasća, napoł jadnasćich
🕚️	11:00, 23:00, cyfrina, tśia dwaźasća góźin, zeger jadnasćich
🕦	11:30, 23 :30, cyfrina, napoł dwanasćich, tśiadwaźasća gózin tśiźasća
🌑	mjaseck, młody mjaseck, noc, śma
🌒	mjaseck, pśiběrajucy, pśiběrajucy mjaseck
🌓	połmjaseck, pśiběrajucy, pśiběrajucy połmjaseck, pśiběrujcy połmjaseck
🌔	mjaseck, pśiběrajucy, pśisamem połny mjaseck
🌕️	mjaseck, połny, połny mjaseck
🌖	južo njepołny mjaseck, južo wóteběrajucy njepołny mjaseck
🌗	wóteběrajucy, wóteběrajucy połmjaseck
🌘	mjaseck, wóteběrajucy, wóteběrajucy mjaseck
🌙	mjaseck, mjaseckowy serp
🌚	mjaseck, młody mjaseck, młody mjaseck z woblicom, woblico, woblico młodego mjasecka
🌛	mjaseckowy serp, mjaseckowy serp z woblicom nalěwo, serp, serp mjasecka z woblicom nalěawo, woblico
🌜️	mjaseckowy serp, mjaseckowy serp z woblicom napšawo, woblico
🌡️	temperatura, termometer, wjedro
☀️	słyńcne, słyńco, tšny, wjedro
🌝	mjaseck, połny mjaseck, połny mjaseck z woblicom, woblico
🌞	guslowaŕ, magija, mejstaŕ chódośaŕ, słyńco z woblicom
🪐	planet z rinkom, saturn
⭐️	gwězda srjejźneje wjelikosći
🌟	gwězda, se błyšćeca gwězda, še błyšćiś
🌠	gwězda, gwězdnica, njebjo
🌌	Ptaškowa droga, galaksija
☁️	mrokawa, mrokowate, wjedro
⛅️	pómrocone, słyńco, słyńco slěz mrokawy, słyńco za mrokawu, wjedro
⛈️	błysk, dešć, mrokawa z błyskom a dešćom, njewjedro, pada se i wjedro
🌤️	mrokawka, njebjo, słyńco, słyńco slěz mrokawki, wjedro
🌥️	mrokawa, słyńco, słyńco slěz mrokawy, słyńco za wjelikeju mrokawu, wjedro
🌦️	dešćowa mrokawa, njebjo, słyńco, słyńco slěz dešćoweje mrokawy, słyńco slěz dešćoweju mrokawu, wjedro
🌧️	dešć, dešćowa mrokawa, mrokawa z dešćom, njebjo, wjedro
🌨️	mrokawa, mrokawa ze sněgom, njebjo, sněg, wjedro
🌩️	błysk, mrokawa z błyskom, njewjedro, wjedro
🌪️	tergaty štorm, tornado, wichaŕ
🌫️	kurjawa, kurjawojte, wjedro
🌬️	wjedro, wětš, wětšowate
🌀	cyklon, tergaty štorm, wětš
🌈	njebjo, tyca, wjedro
🌂	dešć, pśedešćnik, zacynjony pśedešćnik
☂️	dešć, drastwa, pśedešćnik, wjedro
☔️	dešć, pśedešćnik, pśedešćnik w dešću, pśedešćnik w dešću chrapki dešća, woblacenje
⛱️	nastajiś, nastajony pśesłyńcnik, pśesłyńcnik, słyńco
⚡️	błysk, tšachota, wusoke napneśe, wusoke napněśe, źiwajśo na !
❄️	sněg, sněg se źo, sněžynka
☃️	muž, sněg, sněgowy muž w sněgu sněžynki, zyma
⛄️	sněg, sněgowa muž bźez sněžynkow, sněgowy muž bźez sněžynkow, zyma
☄️	komet, swětnišćo
🔥	góruce, płomje, wogeń
💧	chrapka, chrapka wódy, dešć, wóda, znoj
🌊	mórjo, ocean, žwała
🎃	banja, halloween, latarnja z banje
🎄	bom, gódowny bom, gódy, škrjok
🎆	silwester, wognjopraskot
🎇	wognjopraskot, škrickotata swěcka
🧨	dynamit, eksploziwny, praskotaś, wognjopraskot, wognjopraskotak
✨	*, gwězdy, se błyšće gwězdy, se błyšćece gwězdy, se błyšćiś
🎈	baloncyk, narodny źeń
🎉	konfetijowa kanuna, party, swěźeń
🎊	konfetijowa kula, konfetti, party, swěśiś
🎋	Japańska, bom, bom žycenjow, swěźeń, tanabata, žycenja
🎍	Japańska, chójca, chójcowa dekoracija, dekoracija, nowolětny swěźeń, pinijowa dekoracija
🎎	Japańska, japańske pupki, pupka pupce, pupkowy swěźeń japańskej pupce
🎏	chógoj, japańske karpowe chórgoje, karpa, naduwaś se, swěźeń
🎐	japańske wětsowe graśe, japańske wětšowe graśe, swěźeń, wětš, zwón
🎑	Japańska, mjaseck, mjaseckowy swěźeń, swěźeń, tradicionelny, tradicionelny mjaseckowy swězeń
🧧	cerwjena wobalka, dar, gluka I, listowa wobalka, pjenjeze, wobalka
🎀	dar, swěźeń, šlejfa
🎁	dar, swěźeń, zapakowany
🎗️	wopomnjeńska šlejfa, šlejfa
🎟️	lisćik, lisćiki, zastupne lisćiki
🎫	koncert, rozwjaselenje, tiket
🎖️	rěd, wójaŕski rěd
🏆️	myto, pokal
🏅	medalja, soportowa medalja, sportowa medalja
🥇	1. městno, dobyś, dobyśaŕ, prědny, złota medalja
🥈	2. městno, drugi, slobrana medalja
🥉	3. městno, bronzowa medalja, tśeśi
⚽️	balo, kopańcowe balo
⚾️	balo, baseball, baseballowe balo
🥎	balo, rukawica, softbalo
🏀	balo, basketbal, basketballowe balo, kórb, sport
🏐	sport, wolejbalo, wolejbalowe balo Ibalo
🏈	Amerika, balo, footbalo, fottballowe balo, fottbalowe balo, sport
🏉	balo, rugby, rugbyjowe balo, sport
🎾	balo, sport, tenis, tenisowe balo
🥏	frisbee, frisbee Irozwjaselenje
🎳	bowling, bowling Ibowlingowa kula, kjagle Igraśe, kuka
🏏	balo, kriket, kriketowy bijak
🏑	hokej, hokejowy bijak, pólny hokej
🏒	bijak, hokej, lodowy hokej, puk
🥍	balo, bijak, lacrosse, lacrossse, sport
🏓	balko, blidotenisowa łopatka, blidowy tenis
🏸	badminton, bijak, pjerobalo
🥊	boksaŕske rukajce, boksowanje, boksowaŕska rukajca, sport
🥋	judo, karate, kimono, taekwando, woblak za wójowański sport, wójowański sport
🥅	sport, wrota
⛳️	golfowa chórgoj, golfowa chórgojcka, golfowe grajnišćo
⛸️	šuflitowanje, šuflity
🎣	wuda z rybu, wuźenje
🤿	dychańska rorka, nurjaŕska maska, šnorchlowaś
🎽	běganje, běgaŕski shirt, drastwa, sport
🎿	sněgaki, sněgaki a kije
🛷	sańki, sańkowaś, sněg
🥌	curling, curlingowy kamjeń, graśe, kamjeń
🎯	cyncara, darts, graśe, trjefar
🪀	grajka, jojo
🪁	plon, plon za pušćanje, plona pušćaś, se pózwigowaś
🔫	broń, pistola, rewolwer
🎱	billard, billardowa kula, graśe, wósym
🔮	gajka, kristal, kristalowa kula, wěšćaŕ
🪄	chodota, guslowanje, guslowaŕ, guslowaŕka, guslowaŕski kij
🎮️	gamepad, gaming, widograśe
🕹️	graśe, joystick, wideograśe
🎰	grajny awtomat, z gluku graśe Igraśe
🎲	graśe, kóstka
🧩	puzzle, źěl, źěl puzzla
🧸	gněśeńko, grajka, tedij
🪅	party, pinjata, swěźeń
🪩	błyskotanje, disko, glědałkowa kula, reje
🪆	Rusojska, grajka, matrjoška, pupka
♠️	grajna kórta, graśe, kórtowaś, kórty, pik, zelene
♥️	grajna kórta, graśe, kórtowaś, kórty, wutšoby
♦️	grajna kórta, graśe, karo, kórtowaś, kórty, šale
♣️	duby, grajna kórta, graśe, kórtowaś, kórty, kśice, kśicka na grajnej kórśe
♟️	burik, figura, šach, šachowa figura
🃏	grajna kórta, joker, kórtowe graśe
🀄️	cerwjeny plon, graśe, mahjong, mahjong-kamušk
🎴	Japańska, japańska kwětkow kórta, japańska kětkowa kórta, kwětka, kwětkowa kórtka, kórta
🎭️	masce, rozwjaselenje masce, wuměłstwo, źiwadło
🖼️	kreslanka, mólba, mólowaś, ramik, wobraz w ramiku, wuměłstwo
🎨	barwy, mólaŕ, mólaŕska paleta, paleta, wuměłc, wuměłstwo
🧵	cwjern, glicka, nitka, šyś
🪡	glicka, wušywaś, šywalna glicka, šyś
🧶	kokulkowaś, kłubašk wałmy, kłuubašk wałmy, wałma, źaś
🪢	powrjoz, suk, suk wězaś, zesukaś, šnora
👓️	bryka, bryla, głažk, wiźeś, wócy
🕶️	bryla, słyńcna bryla, wócy, śamne
🥽	plěwaś, skowaś, šćit za wócy, šćitna bryla
🥼	eksperiment, gójc, laborowa kitel, laborowy kitel, wědomnostnik
🦺	nuzowy pad, wěstosć, wěstotny bruslac
👔	drastwa, krawata, zgło, zgło z krawatu, šlips
👕	drastwa, shirt, t-shirt
👖	drastwa, jeanse, zec
🧣	šal, šyja
🧤	ruka, rukajce
🧥	drastwa, jaka, płašć
🧦	štrumpica, štrumpy
👗	drastwa, suknja
👘	drastwa, kimono, suknja
🥻	drastwa, sari, suknja
🩱	jadnozělny kupański woblak, kupański woblak
🩲	kupański woblak, kupański zec, slip, spódna drastwa
🩳	boksaŕske shortse, kupańska drastwa, plěwańske shortse, shortse
👙	bikini, drastwa, kupański woblak
👚	bluza, drastwa, zwjerchna drstwa, žeńskeca moda
👛	móšynka, pjenjeze
👜	rucna tobołka, taška, tobołka
👝	pódpažna taška, pódpažna tobołka, tobołka
🛍️	nakupowańske taše, nakupowańske tutawy, nakupowaś, shopping, taše
🎒	šula, šulska taša, šulska toboła
🩴	dandaletka za pśibrjog, palcowa sandaletka
👞	crjej, muske, muskece crjeje, muskecy crjeje
👟	crjej, sport, sportojski, sportowe crjeje
🥾	camping, drogowanje, drogowańske škórnje, drogowaś
🥿	baletowy crjejk, płone crjeje, płony crjej, slipery
👠	crjejowe pěty, pětaty crjej, śańkopětaty crjej, žeńske
👡	crjej, dandala, sandale, žeńske, žeńskeca sandala
🩰	balet, baletowe crjeje, reje
👢	crjej, škórnja, žeńske, žeńskece škórnje
👑	kral, kralowka, krona
👒	kłobyk, pókšyśe na głowu, žeńska, žeńskecy kłobyk, žeńskecy kłobyk ze šlejfu
🎩	cylinder, muski, pókšyśe na głowu I
🎓️	doktorski kłobyk, kłobyk za wótchadnicku, wótchadnicka
🧢	basebalowa šapka, šnepkata mica
🪖	nagłownik, wójak, wójaŕski, wójaŕski nagłownik, wójowaŕ, wójsko
⛑️	nagłownik z běłeju kśicu, pomoc, wuchowaś, wumožaŕski nagłownik, wumožyś
📿	módlitwa, paśerc, religija
💄	kosmetika, make-up, nagubny barwik, se šminkowaś
💍	dejmantowy pjeršćeń, drogotny kamušk, pjeršćeń, pyšnotki, zlubjenje
💎	dejmant, drogotny kamušk
🔇	pśešmarnjony głosnik, zuk wušaltowany
🔈️	głosnik z niskeju głosnosću, zašaltowany
🔉	głosnik ze srjejźneju głosnosću, srjejźnogłosnje
🔊	głosnik, głosnik z wusokeju głosnosću, głosnje, z wusokeju głosnosću
📢	głosnik, głosnik zjawnosć, głosnje
📣	głosnik, juskanje, megafon
📯	list, post, postowy rog
🔔	zašaltowany zuk, zwón
🔕	pśešmarnjony zwón, wušaltowany zuk
🎼	muzika, notowy kluc, noty, partitura, wiolinowy kluc
🎵	muzika, nota, noty
🎶	muzika, noty
🎙️	mikrofon, studijowy mikrofon
🎚️	muzika, suwański regler
🎛️	kontrola, kontrolne pupki, wobsłužowańske pupki, wobwjertny regler
🎤	karaoke, mikrofon, rozwjaselenje, spiwanje
🎧️	muzika rozwjaselenje, nagłowne słuchatko, słuchatko
📻️	radijo, radijo Imuzika
🎷	instrument, muzikowy instrument, saksofon
🪗	akordeon, instrument, muzikowy instrument, śěgata harmonika
🎸	gitara, muzikowy instrument
🎹	instrument muzikowy instrument, keybord, klawiatura, klawěr, tastatura, tasty
🎺	instrument, muzika, muzikowy instrument, trompeta
🎻	fidle, instrument, muzika, muzikowa instrument
🪕	banjo, instrument, muzika, muzikowa instrument
🥁	bubnowaś, bubon, bubonowej bicka
🪘	Afrika, afrikański bubon, bubon, muzika
📱	handy, mobilny telefon, smartfon, telefoněrowaś
📲	hyndy, mobilny telefon, mobilny telefon ze šypu, něchten zwóni, šypa
☎️	kšuta seś, telefon
📞	słuchatko, telefon, zazwóniś
📟️	pager
📠	faks
🔋	aku, baterija, milina
🪫	elektriski, mało miliny, słaba baterija
🔌	milina, tykac, tykack
💻️	kompjuter, laptop, laptop notebook
🖥️	desktopowy kompjuter, kompjuter, kompjuter we wobrazowceI monitor desktopowa kompjuter, wobrazowka
🖨️	kompjuter, wuśišćaś, śišćak, śišćaś
⌨️	kompjuter, tastatura
🖱️	kompjuter, muška, myška
🖲️	kompjuter, trackball
💽	minidisk kompjuter
💾	disketa, nosaŕ datow
💿️	CD, bluray, cejdejka, compactdisc
📀	DVD
🧮	abakus, licbowak
🎥	film, filmowa kamera, kino, rozwjaselenje
🎞️	film, filmowa pask, filmowy pask, kino
📽️	film, filmowa projektor, filmowy projektor, kino
🎬️	film, filmowa klapa, filmowa klapa rozwjaselenje, nagrawanje, nagrawaś, wjerśeś
📺️	film, rozwjaselenje, telewizija, telewizor, wusćełanje
📷️	fota, fotoaparat, fotografěrowaś, kemera
📸	błysk, fotoaparat, fotoaparat z błyskom, fotografěrowaś
📹️	wideo, wideokamera, wideowa kamera
📼	wideo, wideokaseta, wideowa kaseta
🔍	lupa nalěwo schylona, lupa nalěwo schylona Ilupa, pytaś
🔎	lupa, lupa napšawo schylona, pytaś
🕯️	swěcka, swětło
💡	ideja, mysl, myslicka, swětło, žaglawka
🔦	kapsna lampa, lampa, swětło baterija
🏮	cerwjeny lampionk, japański gósćeńc, lampion
🪔	lampa, wólej, wólejowa lampa
📔	se něco zapisaś, wobalka, wupyšnjona wobalka, zapiski, zapisnik, zapisnik z rědneju wobalku
📕	knigły, zacynjone, zacynjone knigły
📖	knigły, wótcynjone, wótcynjone knigły
📗	knigły, zelene, zelene knigły
📘	knigły, módre, módre knigły
📙	oranžojte knigły
📚️	knigły
📓	se něco zapisaś, zapiski, zapisnik
📒	blok, zapisnik, zarědnik, žołty, žołty zapisnik
📃	bok, dokument, gromadu zwity, papjera, pitśku zwite łopjeno, zwity, łopjeno
📜	papjera, zawita pismowa rula
📄	bok, dokument, papjera, prědny bok, prědny bok łopjena, łopjeno
📰	casniki, powěsći, zwite, zwiś
🗞	casniki, zawite casniki, zwite, zwiś
📑	boki, boki z cytańskim znamjenjami, boki z cytańskimi znajenjami, bookmark, cytańske znamje, knigły
🔖	cytańske znamje, cytańske znamuško, znamje
🏷️	cedlik, etiket, marka, znamuško
💰️	měch, měšk, měšk pjenjez, pjenjeze
🪙	matal, minca, pjenjeze, pokład, złotak, złoto, złoty
💴	bankowka, pjenjeze, yen, yenowa bankowka
💵	bankowka, dolar, dolarowa bankowka
💶	bankowka, euro, eurowa bankowka
💷	bankowka, punt, puntowa bankowka
💸	bankowka, bankowka z kśidłoma, kśidła, pjenjeze Ikśidle
💳️	bankowka z kśidłoma, kreditna kórtka, kśidle, pjenjeze
🧾	dokład, knigływjeźenje, zliceńka Izliceński dokład
💹	diagram, diagram pśirosta z yen-znamuškom, pśirost, trend, wiki
✉️	e-mail, list, listowa wobalka, mejlka
📧	e-mail, e-mail Ilist, listowa wobalka, mejlka
📨	dochadajuca listowa wobalka, dostaś, e-mail, mejlka Ilistowa wobalka
📩	listowa wobalka, mejlka, wobalka, wobalka ze šypu, šypa
📤️	wuchad posta, wuchadajucy post, wótkładnica, wótkładnica za wuchadajucy post
📥️	pśichadajucy post, wótkładnica, wótkładnica za dochadajucy post, wótkładnica za pśichadajucy post
📦️	paket, pakśik
📫️	listowy kašćik, post, zacynjony, zacynjony listowy kašćik z postom
📪️	listowy kašćik, zacynjony, zacynjony listowy kašćik bźez posta, žeden post, žedna mejlka
📬️	listowy kašćik, post, wótcynjony, wótcynjony listowy kašći z postom, wótcynjony listowy kašćik z postom
📭️	bźez posta, listowy kašćik, prozny, wótcynjony, wótcynjony listowy kašćik bźez posta, žeden post
📮	list, listowy kašćik
🗳️	urna, urna z wólbnym lisćikom, wólbny lisćik
✏️	wołojnik
✒️	carny, carny pjerownik, pisak, pjero, pjerownik
🖋️	pisak, pjerownik, tinta
🖊️	kuli, pisak
🖌️	mólowaś, wuměłstwo, šćotka
🖍️	barwik, pisak, wósk Iwóskowy barwik, wóskowy barwik
📝	papjerka, papjerka a wołojnik, pisak, powěsć, wołojnik, zapiski
💼	aktowka, taša
📁	dokument, zacynjony, zarědnik
📂	dokument, wótcynjony, wótcynjony zarědnik
🗂️	běrow, kartajowy kašćik, kartoteka, knigłownja, register
📅	datum, kalendarjowe łopjeno, kalendaŕ
📆	kalendaŕ, wótrywański kalendaŕ
🗒️	blok, blok ze špiralneju wězbu, noticowy blok, spiralny zapisnik, zapisnik
🗓️	kalendaŕ, kalendaŕ ze špiralneju wězbu, špiralna wězba
📇	rotaciska kartaja, rotaciski register za wizitki, wizitka, wizitki
📈	diagram, grafika, kśiwula, rosćecy diagram, rozrost, stupajucy, trend
📉	diagram, grafika, kśiwula, spadujucy, spadujucy diagram, trend, wóteběrajucy
📊	diagram, pśeglěd, słupik, słupiki, słupikowy diagram
