‾	siqisqa, takay, vinculum
🥺	khuyakuy, llullu uya, uyllasqa uya, uyllay
🥹	orgulloso, piña, uya wiqikunawan hapisqa, waqasqa, waqay
😦	añasqa uya kichasqa simiwan, añay, kichay, simi, uya
😧	ñakʼari uya
😨	manchachisqa, mancharisqa, mancharisqa uya, manchariy, uya
😰	anqas, chiri, sutʼu, takurisqa uya sutʼuwan, usqhasqa, uya
😥	llakisqa ichaqa llamkayasqa uya, llakisqa ichaqa llamsayasqa uya, llamsayasqa, sunqunnasqa uya, uf, uya
😢	llakisqa, uya, waqasqa uya, waqay, wiqi
😭	llaki, llakisqa, uya, waqasqa uya wiqikunawan, wiqi
😱	khastuy, manay, manchasqa, qhapariy, uya, uya qaparisqa manchanawan
😖	pantasqa uya
😣	uya, yanapakusqa uya, yanapakuy
😞	sunqunnasqa uya
😓	chiri, llakisqa uya sutʼuwan, sutʼu, uya
😩	ayqusqa, ayqusqa uya, sayk’usqa, uya
😫	saykʼusqa uya, sayk’usqa, uya
🥱	hanyasqa, hanyasqa uya, maji, majisqa
😤	atipasqa, triunfo, uya, uya qʼusñiwan sinqamanta
😡	phiña, phiñakuq, phiñakuy, puka, turisqa uya, uya
😠	phiñakusqa, phiñakusqa uya, uya
🤬	sullullchachkan, uya unanchakunawan simipi
😈	fantasia, hadas willana, kusisqa, kusisqa uya waqrakunawan, uya, waqra
👿	challi, fantasia, phiñakusqa uya waqrakunawan, saqra, supay, uya
💀	hadas willana, monstruo, saqru, uya, wañuy
☠️	chakatasqa tullukuna, monstruo, saqru, saqru chaymanta chakatasqa tullukuna, uya, wañuy
💩	achka aka, aka, kaka, monstruo, popo, uya
🤡	pʼaqpaku uya
👹	criatura, fantasia, hadas willana, monstruo, ogro, uya
👺	criatura, fantasia, hadas willana, huchuy kuku, kuku, monstruo, uya
👻	criatura, fantasia, hadas willana, kuku, monstruo, uya
👽️	alien, criatura, extraterrestre, fantasia, ovni, uya
👾	alien, criatura, extraterrestre, monstruo, ovni, pʼarqa alienígena, uya
🤖	mostruo, robot, uya
😺	kichay, kusi, kusisqa, kusisqa misi, misi, simi, uya
😸	asiy, kusi, kusisqa misi uya kusisqa ñawikunawan, misi, uya, ñawi
😹	kusi, misi, misi wiqikunawan kusirikuyninmanta, uya, wiqi
😻	asisqa misi sunqukunawan ñawikunapi, asiy, misi, munay, sunqu, uya, ñawi
😼	asiy, ironico, misi, misi muyusqa kusiwan, muyusqa, uya
😽	misi, muchʼa, muchʼasqa misi, uya, ñawi
🙀	ayqusqa, mancharisqa, mancharisqa misi, misi, oh, uya
😿	llakisqa, misi, uya, waqasqa misi, waqay, wiqi
😾	misi, turisqa, turisqa misi, uya
🙈	Vote supay, amachasqa, kusillo, kusillo mana saqrayuqwan rikuy, rikuy, uya
